transaction_id,timestamp,amount,currency,merchant_name,merchant_category,card_type,location_city,location_country,latitude,longitude,is_fraud
11790,2024-01-01 01:00:12,19.53,EUR,WaterWorks_920,Utilities,Amex,Tokyo,Japan,35.6895,139.6917,0
4785,2024-01-01 01:24:33,19.01,EUR,GameZone_157,Entertainment,Visa,Paris,France,48.8566,2.3522,0
8229,2024-01-01 01:48:30,444.96,EUR,E-Boutique_505,Online Retail,Amex,Sydney,Australia,-33.8688,151.2093,1
7214,2024-01-01 01:53:43,14.59,EUR,E-Boutique_796,Online Retail,Mastercard,Paris,France,48.8566,2.3522,0
5665,2024-01-01 02:26:06,5.68,EUR,WaterWorks_826,Utilities,Mastercard,Rome,Italy,41.9028,12.4964,0
19491,2024-01-01 05:23:18,3.22,EUR,PowerCo_958,Utilities,Mastercard,Rome,Italy,41.9028,12.4964,0
12009,2024-01-01 08:29:12,51.03,EUR,WebShopX_796,Online Retail,Mastercard,Rome,Italy,41.9028,12.4964,0
4318,2024-01-01 08:56:34,4.91,EUR,ConcertLive_335,Entertainment,Mastercard,London,UK,51.5074,-0.1278,0
5187,2024-01-01 09:02:31,7.52,EUR,SuperMart_476,Groceries,Mastercard,Rome,Italy,41.9028,12.4964,0
12046,2024-01-01 09:19:01,10.3,EUR,WebShopX_566,Online Retail,Visa,Berlin,Germany,52.52,13.405,0
9744,2024-01-01 10:05:27,33.74,EUR,E-Boutique_753,Online Retail,Amex,London,UK,51.5074,-0.1278,0
1356,2024-01-01 10:29:52,17.88,EUR,E-Boutique_925,Online Retail,Amex,Dublin,Ireland,53.3498,-6.2603,0
11874,2024-01-01 13:07:01,3.17,EUR,CafeLuxe_723,Restaurants,Mastercard,Berlin,Germany,52.52,13.405,0
1737,2024-01-01 13:24:37,12.65,EUR,StreamFlix_285,Subscription,Amex,Berlin,Germany,52.52,13.405,0
8005,2024-01-01 13:32:59,13.45,EUR,DailyNeeds_918,Groceries,Amex,Rome,Italy,41.9028,12.4964,0
18609,2024-01-01 17:03:13,6.64,EUR,HotelVista_522,Travel,Visa,Dublin,Ireland,53.3498,-6.2603,0
4524,2024-01-01 17:28:21,10.03,EUR,FuelUp_776,Fuel,Visa,Dublin,Ireland,53.3498,-6.2603,0
15333,2024-01-01 17:35:10,6.46,EUR,FixItAll_958,Services,Amex,Rome,Italy,41.9028,12.4964,0
6071,2024-01-01 17:58:16,16.04,EUR,DailyNeeds_736,Groceries,Amex,Rome,Italy,41.9028,12.4964,0
3381,2024-01-01 20:56:56,4.72,EUR,FlyAway Airlines_124,Travel,Amex,Ho Chi Minh City,Vietnam,10.8231,106.6297,0
16,2024-01-01 21:44:35,7.77,EUR,ConcertLive_973,Entertainment,Mastercard,Paris,France,48.8566,2.3522,0
17833,2024-01-01 22:42:01,20.95,EUR,CinemaWorld_545,Entertainment,Amex,Berlin,Germany,52.52,13.405,0
9493,2024-01-01 23:14:01,18.62,EUR,CinemaWorld_422,Entertainment,Mastercard,Berlin,Germany,52.52,13.405,0
4233,2024-01-01 23:34:05,32.98,EUR,FlyAway Airlines_570,Travel,Mastercard,Rome,Italy,41.9028,12.4964,0
10764,2024-01-01 23:53:29,39.68,EUR,TechGadgets_452,Electronics,Mastercard,Paris,France,48.8566,2.3522,0
